Word,Pronunciation
lat, læt
latch, lætʃ lætʃ
late, leɪt leɪt leɪt leɪt leɪt
latecomer, ˈleɪtˌkʌmɚ ˈleɪtˌkʌm·ər
lately, ˈleɪtli ˈleɪt·li
latency, ˈleɪtənsi ˈleɪtənsi
lateness, ˈleɪtnəs ˈleɪtnəs
latent, ˈleɪtənt ˈleɪ·tənt
later, ˈleɪt̬ɚ ˈleɪ·t̬ər ˈleɪ·t̬ər
lateral, ˈlæt̬ɚəl ˈlæt̬ɚəl ˈlæt̬·ər·əl
latest, ˈleɪt̬ɪst ˈleɪ·t̬ɪst
latex, ˈleɪteks ˈleɪ·teks
lath, læθ
lathe, leɪð
lather, ˈlæðɚ ˈlæðɚ ˈlæð·ər
latitude, ˈlæt̬ətuːd ˈlæt̬ətuːd ˈlæt̬·ɪˌtud ˈlæt̬·ɪˌtud
latrine, ləˈtriːn ləˈtriːn ləˈtrin
latte, ˈlɑːteɪ
latter, ˈlæt̬ɚ ˈlæt̬·ər
lattice, ˈlæt̬ɪs
laud, lɑːd lɔd
laudable, ˈlɑːdəbəl
laugh, læf læf læf
laughable, ˈlæfəbəl ˈlæf·ə·bəl
laughingly, ˈlæfɪŋli ˈlæfɪŋli
laughingstock, ˈlæf·ɪŋˌstɑk
laughter, ˈlæftɚ ˈlæf·tər
launch," lɑːntʃ lɑːntʃ lɑːntʃ lɔntʃ, lɑntʃ lɔntʃ, lɑntʃ"
launcher, ˈlɑːntʃɚ
launder," ˈlɑːndɚ ˈlɑːndɚ ˈlɔn·dər, ˈlɑn- ˈlɔn·dər, ˈlɑn-"
launderer, ˈlɑːndɚɚ ˈlɑːndɚɚ
laundry," ˈlɑːndri ˈlɑːndri ˈlɔn·dri, ˈlɑn- ˈlɔn·dri, ˈlɑn-"
laureate," ˈlɔːriət ˈlɔr·i·ət, ˈlɑr-"
laurel," ˈlɔːrəl ˈlɔr·əl, ˈlɑr-"
lava," ˈlɑːvə ˈlɑv·ə, ˈlæv·ə"
lavatory," ˈlævətɔːri ˈlæv·əˌtɔr·i, -ˌtoʊr·i"
lavender, ˈlævɪndɚ ˈlævɪndɚ ˈlæv·ən·dər
laver, ˈleɪvɚ
lavish, ˈlævɪʃ ˈlævɪʃ ˈlæv·ɪʃ
lavishly, ˈlævɪʃli ˈlævɪʃli
law, lɑː lɑː lɑː lɑː lɑː lɔ lɔ lɔ
lawbreaker, ˈlɑːˌbreɪkɚ ˈlɔˌbreɪ·kər
lawful, ˈlɑːfəl ˈlɔ·fəl
lawfully, ˈlɑːfəli ˈlɑː-
lawless, ˈlɑːləs ˈlɔ·ləs
lawlessness, ˈlɑːləsnəs
lawmaker, ˈlɑːˌmeɪkɚ ˈlɔˌmeɪ·kər
lawn," lɑːn lɔn, lɑn"
lawnmower," ˈlɑːnˌmoʊɚ ˈlɔnˌmoʊ·ər, ˈlɑn-"
lawsuit, ˈlɑːsuːt ˈlɔˌsut
lawyer," ˈlɔɪjɚ ˈlɔɪ·ər, ˈlɔ·jər"
lax, læks læks læks læks læks
laxative, ˈlæksət̬ɪv ˈlæk·sə·t̬ɪv
laxity, ˈlæksət̬i ˈlæksət̬i
lay, leɪ leɪ leɪ leɪ leɪ leɪ leɪ leɪ leɪ leɪ leɪ leɪ leɪ leɪ
layaway, ˈleɪəweɪ
layer, ˈleɪɚ ˈleɪɚ ˈleɪ·ər
layered, ˈleɪɚd ˈleɪɚd ˈleɪɚd
layman, ˈleɪmən ˈleɪmən ˈleɪ·mən ˈleɪ·mən
layoff, ˈleɪɑːf ˈleɪɑːf ˈleɪɑːf ˈleiˌɔf
layout, ˈleɪaʊt ˈleɪˌɑʊt
layover, ˈleɪˌoʊvɚ ˈleɪˌoʊ·vər
laziness, ˈleɪzinəs
lazy, ˈleɪzi ˈleɪzi ˈleɪ·zi ˈleɪ·zi
leach, liːtʃ liːtʃ litʃ
lead, liːd liːd liːd liːd liːd liːd liːd liːd liːd liːd lid lid lid lid lid lid liːd liːd liːd liːd
leaded, ˈledɪd
leaden, ˈledən ˈledən ˈled·ən
leader, ˈliːdɚ ˈliːdɚ ˈliːdɚ ˈliːdɚ ˈli·dər ˈli·dər
leaderless, ˈliːdɚləs
leadership, ˈliːdɚʃɪp ˈliːdɚʃɪp ˈli·dərˌʃɪp ˈli·dərˌʃɪp
leading, ˈliːdɪŋ ˈli·dɪŋ
leaf, liːf liːf liːf lif lif lif
leaflet, ˈliːflət ˈlif·lɪt
leafy, ˈliːfi ˈliːfi ˈli·fi
league, liːɡ liːɡ liɡ liɡ liɡ
leak, liːk liːk lik lik
leakage, ˈliːkɪdʒ ˈliːkɪdʒ ˈli·kɪdʒ
leaker, ˈliːkɚ
leaky, ˈliːki
lean, liːn lin
leaning, ˈliːnɪŋ ˈli·nɪŋ
leap, liːp liːp liːp liːp lip lip
leapfrog," ˈliːpfrɑːɡ ˈlipˌfrɔɡ, -frɑɡ -frɑːɡ"
learn, lɝːn lɝːn lɝːn lɝːn lɜrn
learned, ˈlɜr·nɪd
learner, ˈlɝːnɚ
learning, ˈlɝːnɪŋ ˈlɝːnɪŋ ˈlɜr·nɪŋ
lease, liːs lis
leash, liːʃ liʃ
least, liːst list
leather, ˈleðɚ ˈleð·ər
leathery, ˈleðɚi
leave, liːv liːv liːv liːv liːv liːv liːv liːv liːv liːv liːv liːv liv liv liv liv liv liv liv liv liv liv
leavening, ˈlevənɪŋ ˈlevənɪŋ ˈlevənɪŋ
leaves, liːvz livz
leavings, ˈliːvɪŋz
lech, letʃ
lecher, ˈletʃɚ
lecherous, ˈletʃɚəs ˈletʃ·ər·əs
lecithin, ˈlesɪθɪn
lectern, ˈlektɝːn ˈlek·tərn
lecture, ˈlektʃɚ ˈlektʃɚ ˈlek·tʃər ˈlek·tʃər
lecturer, ˈlektʃɚɚ
led, led led
ledge, ledʒ ledʒ
ledger, ˈledʒɚ ˈledʒ·ər
lee, liː
leech, liːtʃ liːtʃ litʃ litʃ
leek, liːk lik
leery, ˈlɪri
leeward," ˈliːwɚd ˈli·wərd, ˈlu·ərd"
leeway, ˈliːweɪ ˈliːweɪ ˈliˌweɪ ˈliˌweɪ
left, left left
leftist, ˈleftɪst
leftover, ˈlefˌt̬oʊvɚ ˈleftˌoʊ·vər
lefty, ˈlefti ˈlefti
leg, leɡ leɡ leɡ leɡ leɡ leɡ leɡ leɡ leɡ
legacy, ˈleɡəsi ˈleɡəsi ˈleɡ·ə·si ˈleɡ·ə·si
legal, ˈliːɡəl ˈliːɡəl ˈliːɡəl ˈli·ɡəl
legalese, ˌliːɡəlˈiːz ˌliːɡəlˈIːz
legalistic, ˌliːɡəlˈɪstɪk
legality, liːˈɡælət̬i liˈɡæl·ɪ·t̬i
legalization, ˌliːɡələˈzeɪʃən
legalize, ˈliːɡəlaɪz ˈli·ɡəˌlɑɪz
legally, ˈliːɡəli
legato, lɪˈɡɑːtoʊ
legend, ˈledʒənd ˈledʒənd ˈledʒənd ˈledʒ·ənd ˈledʒ·ənd ˈledʒ·ənd
legendary, ˈledʒderi ˈledʒderi ˈledʒ·ənˌder·i ˈledʒ·ənˌder·i
legerdemain, ˌledʒɚdəˈmeɪn ˌledʒɚdəˈmeɪn
leggings, ˈleɡɪŋz ˈleɡɪŋz ˈleɡ·ɪŋz
leggy, ˈleɡi ˈleɡ·i
legible, ˈledʒəbəl ˈledʒ·ə·bəl
legion, ˈliːdʒən ˈli·dʒən
legislate, ˈledʒəsleɪt ˈledʒ·əsˌleɪt
legislation, ˌledʒəˈsleɪʃən ˌledʒ·əsˈleɪ·ʃən
legislative, ˈledʒəslət̬ɪv ˈledʒ·əsˌleɪ·t̬ɪv -ṱɪv
legislator, ˈledʒəsleɪt̬ɚ ˈledʒ·əsˌleɪ·t̬ər -ṱɚ
legislature, ˈledʒəslətʃɚ ˈledʒ·əsˌleɪ·tʃər -tʃɚ
legit, ləˈdʒɪt
legitimacy, ləˈdʒɪt̬əməsi ləˈdʒɪt̬əməsi
legitimate, ləˈdʒɪt̬əmət ləˈdʒɪt̬əmət ləˈdʒɪt̬əmət ləˈdʒɪt̬·ə·mət
legitimately, ləˈdʒɪt̬əmətli ləˈdʒɪt̬əmətli
legitimize, ləˈdʒɪt̬əmaɪz ləˈdʒɪt̬·əˌmɑɪz
legless, ˈleɡləs
legroom," ˈleɡruːm ˈleɡˌrum, -ˌrʊm"
legwork, ˈleɡwɝːk ˈleɡˈwɜrk
lei, ˈleɪiː
leisure," ˈliːʒɚ ˈli·ʒər, ˈleʒ·ər ˈliːʒər"
leisurely, ˈliːʒɚli
lemma, ˈlemə
lemming, ˈlemɪŋ
lemon, ˈlemən ˈlemən ˈlemən ˈlemən ˈlemən ˈlem·ən ˈlem·ən
lemonade, ˌleməˈneɪd ˌleməˈneɪd ˌlem·əˈneɪd
lemur, ˈliːmɚ
lend, lend lend lend lend
lender, ˈlendɚ ˈlen·dər
length," leŋθ leŋθ leŋθ leŋθ leŋθ leŋθ leŋθ leŋkθ, leŋθ leŋkθ, leŋθ leŋkθ, leŋθ"
lengthen," ˈleŋθən ˈleŋθən ˈleŋk·θən, ˈleŋ- ˈleŋk·θən, ˈleŋ-"
lengthwise," ˈleŋkθˌwɑɪz, ˈleŋθ-"
lengthy," ˈleŋθi ˈleŋk·θi, ˈleŋ-"
leniency, ˈliːniənsi
lenient, ˈliːniənt ˈlin·jənt
leniently, ˈliːniəntli
lens, lenz lenz lenz lenz lenz
lent, lent lent
lentil, ˈlent̬əl ˈlen·təl
leopard, ˈlepɚd ˈlep·ərd
leotard, ˈliːətɑːrd ˈli·əˌtɑrd
leper, ˈlepɚ ˈlepɚ ˈlep·ər
leprechaun, ˈleprəkɑːn
leprosy, ˈleprəsi ˈlep·rə·si
lesbian, ˈlezbiən ˈlez·bi·ən
lesbianism, ˈlezbiənɪzəm
lesion, ˈliːʒən ˈli·ʒən
less, les les
lessee, lesˈiː
lessen, ˈlesən ˈles·ən
lesser, ˈlesɚ ˈles·ər
lesson, ˈlesən ˈlesən ˈles·ən ˈles·ən
lessor, lesˈɔːr ˈlesɔr
lest, lest lest
let, let let let let let let
letdown, ˈletdaʊn ˈletˌdɑʊn
lethal, ˈliːθəl ˈli·θəl
lethargic, ləˈθɑːrdʒɪk ləˈθɑr·dʒɪk
lethargy, ˈleθɚdʒi
letter, ˈlet̬ɚ ˈlet̬ɚ ˈlet̬ɚ ˈlet̬·ər ˈlet̬·ər
