Word,Pronunciation
dildo, ˈdɪldoʊ ˈdɪldoʊ
dilemma," daɪˈlemə dɪˈlem·ə, dɑɪ-"
diligence, ˈdɪlədʒəns
diligent, ˈdɪlədʒənt ˈdɪlədʒənt ˈdɪl·ɪ·dʒənt
diligently, ˈdɪlədʒəntli
dill, dɪl dɪl
dilly, ˈdɪli
dilute," daɪˈluːt daɪˈluːt dɑɪˈlut, də- dɑɪˈlut, də-"
dilution, daɪˈluːʃən daɪˈluːʃən daɪˈluːʃən dɪˈluːʃən dɪˈluːʃən
dim, dɪm dɪm dɪm dɪm dɪm dɪm
dime, daɪm daɪm daɪm dɑɪm
dimension, ˌdaɪˈmenʃən ˌdaɪˈmenʃən dəˈmen·ʃən dəˈmen·ʃən
dimensional, dɪˈmenʃənəl dɪˈmenʃənəl dɪˈmenʃənəl
dimensionality, dɪmenʃənˈælət̬i dɪmenʃənˈælət̬i
diminish, dɪˈmɪnɪʃ dəˈmɪn·ɪʃ
diminished, dɪˌmɪnɪʃt
diminution, ˌdɪməˈnuːʃən -əˈnuː-
diminutive, dɪˈmɪnjət̬ɪv dɪˈmɪnjət̬ɪv dəˈmɪn·jə·t̬ɪv
dimly, ˈdɪmli ˈdɪmli
dimmer, ˈdɪmɚ
dimple, ˈdɪmpəl ˈdɪm·pəl
dimpled, ˈdɪmpəld
din, dɪn dɪn
dinar, ˈdiːnɑːr
dine, daɪn dɑɪn
diner, ˈdaɪnɚ ˈdaɪnɚ ˈdɑɪ·nər ˈdɑɪ·nər
ding, dɪŋ dɪŋ dɪŋ
dinghy," ˈdɪŋi ˈdɪŋi ˈdɪŋ·i, -ɡi"
dingo, ˈdɪŋɡoʊ
dingy, ˈdɪndʒi ˈdɪn·dʒi
dink, dɪŋk
dinky, ˈdɪŋki ˈdɪŋ·ki
dinner, ˈdɪnɚ ˈdɪnɚ ˈdɪn·ər ˈdɪn·ər
dinnertime, ˈdɪn·ərˌtɑɪm
dinnerware, ˈdɪnɚwer
dinosaur, ˈdaɪnəsɔːr ˈdaɪnəsɔːr ˈdɑɪ·nəˌsɔr ˈdɑɪ·nəˌsɔr
dint, dɪnt
diocesan, daɪˈɑːsəsən
diocese," ˈdaɪəsɪs ˈdɑɪ·ə·səs, -ˌsiz, -ˌsis"
diode, ˈdaɪoʊd
dioxide, daɪˈɑːksaɪd
dioxin, daɪˈɑːksɪn
dip, dɪp dɪp dɪp dɪp dɪp dɪp
diphtheria," dɪfˈθɪriə dɪfˈθəɪr·i·ə, dɪp-"
diphthong, ˈdɪfθɑːŋ
diploma, dɪˈploʊmə dəˈploʊ·mə
diplomacy, dɪˈploʊməsi dɪˈploʊməsi dəˈploʊ·mə·si dəˈploʊ·mə·si
diplomat, ˈdɪpləmæt ˈdɪpləmæt ˈdɪp·ləˌmæt
diplomatic, ˌdɪpləˈmæt̬ɪk ˌdɪpləˈmæt̬ɪk ˌdɪp·ləˈmæt̬·ɪk ˌdɪp·ləˈmæt̬·ɪk
diplomatically, ˌdɪpləˈmæt̬ɪkəli ˌdɪpləˈmæt̬ɪkəli
dippy, ˈdɪpi
dipstick, ˈdɪpstɪk ˈdɪpstɪk ˈdɪpˌstɪk
dire, daɪr daɪr dɑɪər
direct," daɪˈrekt daɪˈrekt daɪˈrekt daɪˈrekt dəˈrekt, dɑɪ- dəˈrekt, dɑɪ- dəˈrekt, dɑɪ-"
direction," dɪˈrekʃən dɪˈrekʃən dɪˈrekʃən dəˈrek·ʃən, dɑɪ- dəˈrek·ʃən, dɑɪ- dəˈrek·ʃən, dɑɪ-"
directional, daɪˈrekʃənəl daɪˈrekʃənəl
directionless, daɪˈrekʃənləs
directive," daɪˈrektɪv dəˈrek·tɪv, dɑɪ-"
directly," daɪˈrektli daɪˈrektli daɪˈrektli daɪˈrektli dəˈrek·tli, dɑɪ- dəˈrek·tli, dɑɪ-"
directness," daɪˈrektnəs daɪˈrektnəs dəˈrekt·nəs, dɑɪ-"
director," daɪˈrektɚ daɪˈrektɚ daɪˈrektɚ daɪˈrektɚ dəˈrek·tər, dɑɪ- dəˈrek·tər, dɑɪ-"
directorate, daɪˈrektərət daɪˈrektərət
