Word,Pronunciation
revalue, ˌriːˈvælju
revamp, ˌriːˈvæmp riˈvæmp
reveal, rɪˈviːl rɪˈviːl rɪˈvil
revealing, rɪˈviːlɪŋ rɪˈviːlɪŋ rɪˈvi·lɪŋ rɪˈvi·lɪŋ
revel, ˈrevəl ˈrev·əl
revelation, ˌrevəˈleɪʃən ˌrev·əˈleɪ·ʃən
revelry, ˈrevəlri ˈrev·əl·ri
revenge, rɪˈvendʒ rɪˈvendʒ
revenue, ˈrevənuː ˈrev·əˌnu ˈrevənuː ˈrevənuː ˈrevənuː
reverb, ˈriːvɝːb ˈriːvɝːb ˈriːvɝːb
reverberate, rɪˈvɝːbɚeɪt rɪˈvɝːbɚeɪt rɪˈvɜr·bəˌreɪt
reverberation, rɪˌvɝːbəˈreɪʃən
revere, rɪˈvɪr rɪˈvɪər
reverence, ˈrevɚəns
reverent, ˈrevɚənt
reverently, ˈrevɚəntli
reverie, ˈrevɚi ˈrev·ə·ri
reversal, rɪˈvɝːsəl rɪˈvɝːsəl rɪˈvɜr·səl
reverse, rɪˈvɝːs rɪˈvɝːs rɪˈvɜrs
reversible, rɪˈvɝːsəbəl rɪˈvɝːsəbəl rɪˈvɜr·sə·bəl rɪˈvɜr·sə·bəl
reversion, rɪˈvɝːʒən rɪˈvɝːʒən rɪˈvɜr·ʒən rɪˈvɜrʒən rɪˈvɜrʒən
revert, rɪˈvɝːt
review, rɪˈvjuː rɪˈvjuː rɪˈvjuː rɪˈvjuː rɪˈvjuː rɪˈvju
reviewer, rɪˈvjuːɚ rɪˈvjuːɚ rɪˈvju·ər
revile, rɪˈvaɪl rɪˈvɑɪl
revise, rɪˈvaɪz rɪˈvaɪz rɪˈvɑɪz rɪˈvɑɪz
revised, rɪˈvaɪzd
revision, rɪˈvɪʒən rɪˈvɪʒən rɪˈvɪʒ·ən
revisionist, rɪˈvɪʒənɪst
revisit, riːˈvɪzɪt riːˈvɪzɪt riˈvɪz·ɪt
revitalize, ˌriːˈvaɪt̬əlaɪz riˈvɑɪ·t̬əlˌɑɪz
revival, rɪˈvaɪvəl rɪˈvaɪvəl rɪˈvaɪvəl rɪˈvɑɪ·vəl
revive, rɪˈvaɪv rɪˈvɑɪv
revocable, rɪˈvoʊkəbəl
revocation, revəˈkeɪʃən
revoke, rɪˈvoʊk rɪˈvoʊk
revolt, rɪˈvoʊlt rɪˈvoʊlt rɪˈvoʊlt rɪˈvoʊlt
revolting, rɪˈvoʊltɪŋ rɪˈvoʊl·tɪŋ
revolution, ˌrevəˈluːʃən ˌrevəˈluːʃən ˌrevəˈluːʃən ˌrevəˈluːʃən ˌrev·əˈlu·ʃən ˌrev·əˈlu·ʃən
revolutionary, ˌrevəˈluːʃəneri ˌrevəˈluːʃəneri ˌrev·əˈlu·ʃəˌner·i ˌrevəˈluːʃəneri
revolutionize, ˌrevəˈluːʃənaɪz ˌrev·əˈlu·ʃəˌnɑɪz
revolve," rɪˈvɑːlv rɪˈvɑlv, -ˈvɔlv"
revolver," rɪˈvɑːlvɚ rɪˈvɑl·vər, -ˈvɔl-"
revolving, rɪˈvɑːlvɪŋ
revue, rɪˈvjuː rɪˈvju
revulsion, rɪˈvʌlʃən rɪˈvʌl·ʃən
reward, rɪˈwɔːrd rɪˈwɔːrd rɪˈwɔrd rɪˈwɔrd
rewarding, rɪˈwɔːrdɪŋ rɪˈwɔr·dɪŋ
rewind, ˌriːˈwaɪnd ˌriːˈwaɪnd ˌriːˈwaɪnd riˈwɑɪnd
rewire, ˌriːˈwaɪr
reword, ˌriːˈwɝːd
rework, ˌriːˈwɝːk riˈwɜrk
reworking, ˌriːˈwɝːkɪŋ
rewrite, ˌriːˈraɪt ˌriːˈraɪt riˈrɑɪt
rhapsody, ˈræpsədi ˈræpsədi ˈræp·sə·di
rhetoric, ˈret̬ɚɪk ˈret̬ɚɪk ˈret̬ɚɪk ˈret̬·ər·ɪk ˈret̬·ər·ɪk
rhetorical, rɪˈtɔːrɪkəl
